
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
2960450       0x2D2C42        ARM instructions, function epilogue
2967033       0x2D45F9        MIPS instructions, function epilogue
2975776       0x2D6820        MIPS instructions, function epilogue
2996590       0x2DB96E        MIPS16e instructions, function epilogue
3006599       0x2DE087        MIPSEL16e instructions, function epilogue
3009366       0x2DEB56        ARM instructions, function prologue
3013820       0x2DFCBC        MIPS16e instructions, function epilogue
3016956       0x2E08FC        ARM instructions, function epilogue
3018839       0x2E1057        MIPS instructions, function epilogue
3044892       0x2E761C        ARM instructions, function epilogue
3055594       0x2E9FEA        ARMEB instructions, function epilogue
3060529       0x2EB331        ARMEB instructions, function prologue
3061928       0x2EB8A8        MIPSEL16e instructions, function epilogue
3098872       0x2F48F8        ARMEB instructions, function prologue
3104757       0x2F5FF5        MIPSEL16e instructions, function epilogue
3106577       0x2F6711        ARM instructions, function prologue
3110266       0x2F757A        ARMEB instructions, function epilogue
3111339       0x2F79AB        MIPSEL16e instructions, function epilogue
3122706       0x2FA612        ARM instructions, function prologue
3130595       0x2FC4E3        MIPS instructions, function epilogue
3135499       0x2FD80B        MIPS instructions, function epilogue
3138224       0x2FE2B0        ARM instructions, function epilogue
3166927       0x3052CF        ARMEB instructions, function prologue
3179878       0x308566        MIPS instructions, function epilogue
3188451       0x30A6E3        MIPS instructions, function epilogue
3210112       0x30FB80        ARM instructions, function epilogue
3215212       0x310F6C        ARMEB instructions, function epilogue
3215921       0x311231        MIPS16e instructions, function epilogue
3225183       0x31365F        ARM instructions, function prologue
3227976       0x314148        ARM instructions, function prologue
3232560       0x315330        MIPS instructions, function epilogue
3234922       0x315C6A        MIPS instructions, function epilogue
3245534       0x3185DE        MIPSEL16e instructions, function epilogue
3272158       0x31EDDE        ARM instructions, function prologue
3276383       0x31FE5F        ARMEB instructions, function epilogue
3287948       0x322B8C        MIPS16e instructions, function epilogue
3288958       0x322F7E        MIPS16e instructions, function epilogue
3303799       0x326977        ARMEB instructions, function epilogue
3318905       0x32A479        MIPSEL16e instructions, function epilogue
3319845       0x32A825        ARMEB instructions, function prologue
3333051       0x32DBBB        MIPS instructions, function epilogue
3337722       0x32EDFA        MIPS16e instructions, function epilogue
3339426       0x32F4A2        MIPS instructions, function epilogue
3340849       0x32FA31        MIPS16e instructions, function epilogue
3342286       0x32FFCE        MIPS instructions, function epilogue
3351424       0x332380        ARMEB instructions, function epilogue
3353846       0x332CF6        ARM instructions, function prologue
3361173       0x334995        MIPS instructions, function epilogue
3367556       0x336284        MIPS instructions, function epilogue
3370058       0x336C4A        ARM instructions, function prologue
3373024       0x3377E0        ARMEB instructions, function epilogue
3374222       0x337C8E        MIPS16e instructions, function epilogue
3383807       0x33A1FF        MIPS instructions, function epilogue
3385833       0x33A9E9        MIPS instructions, function epilogue
3393614       0x33C84E        MIPS16e instructions, function epilogue
3405108       0x33F534        MIPS instructions, function epilogue
3409736       0x340748        MIPS instructions, function epilogue
3416911       0x34234F        MIPSEL16e instructions, function epilogue
3418294       0x3428B6        ARMEB instructions, function epilogue
3418460       0x34295C        MIPS instructions, function epilogue
3427129       0x344B39        ARM instructions, function prologue
3432636       0x3460BC        MIPS instructions, function epilogue
3440873       0x3480E9        MIPSEL16e instructions, function epilogue
3444151       0x348DB7        MIPSEL16e instructions, function epilogue
3446145       0x349581        MIPS instructions, function epilogue
3446362       0x34965A        MIPS16e instructions, function epilogue
3484016       0x352970        MIPS16e instructions, function epilogue
3490552       0x3542F8        ARM instructions, function epilogue
3496563       0x355A73        MIPS instructions, function epilogue
3504125       0x3577FD        ARMEB instructions, function prologue
3507249       0x358431        MIPS instructions, function epilogue
3508065       0x358761        ARMEB instructions, function epilogue
3530820       0x35E044        ARM instructions, function prologue
3533174       0x35E976        MIPS instructions, function epilogue
3535400       0x35F228        MIPS16e instructions, function epilogue
3542586       0x360E3A        MIPS instructions, function epilogue
3542704       0x360EB0        ARM instructions, function prologue
3544018       0x3613D2        ARMEB instructions, function epilogue
3568539       0x36739B        ARM instructions, function epilogue
3585085       0x36B43D        MIPS instructions, function epilogue
3585440       0x36B5A0        MIPS instructions, function epilogue
3599577       0x36ECD9        ARM instructions, function prologue
3600210       0x36EF52        MIPSEL16e instructions, function epilogue
3616080       0x372D50        MIPS16e instructions, function prologue
3619953       0x373C71        MIPS instructions, function epilogue
3636317       0x377C5D        ARMEB instructions, function prologue
3640548       0x378CE4        MIPS instructions, function epilogue
3640688       0x378D70        MIPS instructions, function epilogue
3648537       0x37AC19        MIPSEL16e instructions, function epilogue
3648886       0x37AD76        MIPS instructions, function epilogue
3657051       0x37CD5B        MIPS16e instructions, function epilogue
3690743       0x3850F7        MIPS instructions, function epilogue
3693552       0x385BF0        ARM instructions, function epilogue
3714941       0x38AF7D        ARM instructions, function epilogue
3715671       0x38B257        MIPS16e instructions, function epilogue
3715900       0x38B33C        ARM instructions, function epilogue
3717068       0x38B7CC        ARMEB instructions, function prologue
3718189       0x38BC2D        MIPS instructions, function epilogue
3722394       0x38CC9A        ARMEB instructions, function epilogue
3751936       0x394000        ARM instructions, function prologue
3752983       0x394417        MIPS instructions, function epilogue
3756847       0x39532F        MIPS instructions, function epilogue
3758693       0x395A65        ARMEB instructions, function epilogue
3782234       0x39B65A        MIPS instructions, function epilogue
3783449       0x39BB19        ARM instructions, function prologue
3784736       0x39C020        ARM instructions, function prologue
3789025       0x39D0E1        ARMEB instructions, function epilogue
3794553       0x39E679        ARMEB instructions, function epilogue
3794877       0x39E7BD        MIPS instructions, function epilogue
3800052       0x39FBF4        MIPSEL16e instructions, function epilogue
3810000       0x3A22D0        ARMEB instructions, function epilogue
3832906       0x3A7C4A        ARM instructions, function prologue
3842047       0x3A9FFF        MIPS instructions, function epilogue
3854378       0x3AD02A        ARMEB instructions, function epilogue
3854622       0x3AD11E        MIPS instructions, function epilogue
3855917       0x3AD62D        ARMEB instructions, function prologue
3862985       0x3AF1C9        MIPS16e instructions, function epilogue
3863614       0x3AF43E        MIPSEL16e instructions, function epilogue
3864800       0x3AF8E0        MIPSEL16e instructions, function epilogue
3868898       0x3B08E2        ARMEB instructions, function prologue
3871054       0x3B114E        ARMEB instructions, function epilogue
3872951       0x3B18B7        ARMEB instructions, function epilogue
3899703       0x3B8137        ARMEB instructions, function epilogue
3913901       0x3BB8AD        MIPS16e instructions, function epilogue
3918639       0x3BCB2F        ARMEB instructions, function epilogue
3918874       0x3BCC1A        ARMEB instructions, function prologue
3922047       0x3BD87F        MIPS instructions, function epilogue
3922105       0x3BD8B9        MIPS instructions, function epilogue
3941176       0x3C2338        ARM instructions, function epilogue
3945217       0x3C3301        ARMEB instructions, function epilogue
3959906       0x3C6C62        MIPS instructions, function epilogue
3962599       0x3C76E7        ARM instructions, function prologue
3968964       0x3C8FC4        ARMEB instructions, function prologue
3974919       0x3CA707        MIPS instructions, function epilogue
3978627       0x3CB583        MIPS16e instructions, function epilogue
3980319       0x3CBC1F        MIPSEL16e instructions, function epilogue
3990439       0x3CE3A7        ARMEB instructions, function epilogue
3994740       0x3CF474        MIPSEL16e instructions, function epilogue
3995095       0x3CF5D7        MIPS instructions, function epilogue
3996824       0x3CFC98        MIPS16e instructions, function epilogue
3997194       0x3CFE0A        ARMEB instructions, function prologue
4002599       0x3D1327        MIPSEL16e instructions, function epilogue
4010727       0x3D32E7        MIPSEL16e instructions, function epilogue
4020984       0x3D5AF8        ARM instructions, function prologue
4028163       0x3D7703        ARM instructions, function epilogue
4028431       0x3D780F        MIPS16e instructions, function epilogue
4031830       0x3D8556        ARMEB instructions, function prologue
4035143       0x3D9247        ARMEB instructions, function prologue
4043943       0x3DB4A7        ARM instructions, function prologue
4047309       0x3DC1CD        MIPSEL16e instructions, function epilogue
4047857       0x3DC3F1        ARMEB instructions, function prologue
4070659       0x3E1D03        MIPS16e instructions, function epilogue
4076074       0x3E322A        MIPSEL16e instructions, function epilogue
4076811       0x3E350B        ARM instructions, function epilogue
4109164       0x3EB36C        ARM instructions, function epilogue
4110022       0x3EB6C6        ARM instructions, function prologue
4117553       0x3ED431        MIPSEL16e instructions, function epilogue
4127566       0x3EFB4E        ARMEB instructions, function prologue
4130437       0x3F0685        MIPS16e instructions, function epilogue
4156819       0x3F6D93        MIPS16e instructions, function epilogue
4156827       0x3F6D9B        ARMEB instructions, function prologue
4170871       0x3FA477        MIPS instructions, function epilogue
4178154       0x3FC0EA        ARM instructions, function prologue
4183367       0x3FD547        ARM instructions, function prologue
4185439       0x3FDD5F        ARMEB instructions, function epilogue
4187988       0x3FE754        MIPSEL16e instructions, function epilogue
4207953       0x403551        ARM instructions, function prologue
4222200       0x406CF8        ARM instructions, function prologue
4228116       0x408414        MIPSEL16e instructions, function epilogue
4229974       0x408B56        ARMEB instructions, function prologue
4230337       0x408CC1        MIPS16e instructions, function epilogue
4237080       0x40A718        MIPS instructions, function epilogue
4240964       0x40B644        ARMEB instructions, function prologue
4241247       0x40B75F        MIPSEL16e instructions, function epilogue
4242581       0x40BC95        MIPS16e instructions, function epilogue
4247480       0x40CFB8        MIPS instructions, function epilogue
4252814       0x40E48E        ARM instructions, function prologue
4263225       0x410D39        ARMEB instructions, function prologue
4291330       0x417B02        ARMEB instructions, function epilogue
4304685       0x41AF2D        ARM instructions, function prologue
4314173       0x41D43D        MIPS instructions, function epilogue
4320193       0x41EBC1        ARM instructions, function epilogue
4331372       0x42176C        MIPS16e instructions, function epilogue
4338606       0x4233AE        MIPS instructions, function epilogue
